S No,Website,Active Voice ,Passive Voice,
2799,,Who did the job ?,By whom was the job done ?, 
2800,,Can you break the door ?,Can the door be broken by you ?, 
2801,,Will she sing a song ?,Will a song be sung by her ?, 
2802,,Is he speaking English ?,Is English being spoken by him ?, 
2803,,Are you eating a banana ?,Is a banana being eaten by you ?, 
2804,,Why are you washing the car ?,Why is the car being washed by you ?, 
2805,,When will he give the money ?,When will the money be given by him ?, 
2806,,Where will he met you ?,Where will you be met by him ?, 
2807,,How do you make a cake ?,How is a cake made by you ?, 
2808,,Whom did you tell the story ?,To whom was the story told by you ?, 
2809,,Lightning struck him.,He was struck by lightning., 
2810,,The language that he used quite shocked me.,I was quite shocked by the language that he used., 
2811,,The sight of that event filled us both with horror.,We were both filled with horror by the sight of that event., 
2812,,His voice and manner hurt me much.,I was much hurt by his voice and manner., 
2813,,"Should he find me at home, I would not receive him.","Should I be found t home by him, he would not be received by me.", 
2814,,The city welcomed them back on their return.,They were welcomed back by he city on their return., 
2815,,The master punished him for speaking in class.,He was punished by the master for speaking in class., 
2816,,We raised many objections to the plan that he proposed.,Many objections were raised by us to the plan that was proposed by him., 
2817,,Will not a sense of duty persuade him to work harder ?,Will he not be persuaded to work harder by a sense of duty ?, 
2818,,The meeting called upon me to give my reasons.,I was called upon by the meeting to give my reasons., 
2819,,I knew him by his voice when he spoke to me in the dark.,"He was known by me by his voice, when I was spoken to by him in the dark.", 
2820,,We did not expect him return.,His return was not expected by us.,
2821,,The boy feeds his dogs twice a day,His dogs are fed twice a day., 
2822,,Thugs vandalized our neighbor's car.,Our neighbor's car had been vandalized by thugs.,
2823,,Someone told Kamala the bad news as soon as she arrived.,Kamala was told the bad news as soon as she arrived.,
2824,,Plus One Productions will stage a Shakespearean play in a month's time.,A Shakespearean play will be staged by Plus One Productions in a month's time.,
2825,,The restaurant manager showed them to the table himself.,They were shown to the table by the restaurant manager himself.,
2826,,People think she is the most popular actress nowadays.,She is thought of as the most popular actress nowadays.,
2827,,Someone asked the boy to carry twenty kilograms of rice.,The boy was asked to carry twenty kilograms of rice.,
2828,,Someone would have stolen the painting if he hadn't helped.,The painting would have been stolen if he hadn't helped.,
2829,,The teacher ordered Ravind out of the classroom for disrupting the class.,Ravind was ordered out of the classroom for disrupting the class.,
2830,,The police caught him littering in the streets and fined him.,He was caught for littering in the streets and fined.,
2831,,They sell many types of fish at the market every day.,Many types of fish were being sold at the market every day.,
2832,,You are to give the book to my sister after this.,The book is to be given to my sister after this., 
2833,,Please see that somebody sweeps and mops the room before I return.,Please see that the room is swept and mopped before I return.,
2834,,The ants are biting me.,I am being bitten by the ants.,
2835,,They are bringing in the luggage.,The luggage is being brought in.,
2836,,She rears ducks on the farm.,Ducks are reared on the farm.,
2837,,He broke all the equipment.,All the equipment was broken.,
2838,,Farah was tearing the old newspapers.,The old newspapers were being torn.,
2839,,I will meet my friend at the airport.,My friend will be met at the airport.,
2840,,The laborers have cut down the tree.,The tree has been cut down.,
2841,,Someone had sung the song before.,The song had been sung before.,
2842,,I will have sold the video game to Harris.,The video game will have been sold to Harris.,
2843,,We should choose a monitor quickly.,A monitor should be quickly chosen.,
2844,,Add bacteria to milk to make yoghurt.,Bacteria is added to milk to make yoghurt., 
2845,,The farmers split the cacao pods open and scoop out the cacao beans.,The cacao pods are split open and the cacao beans are scooped out., 
2846,,The machine stretches and twists the wires.,The wires are stretched and twisted., 
2847,,The workers dry the fish in the sun.,The fish are dried in the sun., 
2848,,"Years ago, people churned butter by hand.",Butter was churned by hand years ago., 
2849,,The roller mill crushed the grains.,The grains were crushed by the roller mill., 
2850,,The machine sealed the bottle with a bottle cap.,The bottle was sealed with a bottle cap., 
2851,,The robot is fixing the tyres to the body of the car.,The tyres are being fixed to the body of the car., 
2852,,The technique turns acetylsalicyclic acid into powder form.,Acetysalicylic acid is turned into powder form., 
2853,,The machine cuts the adhesive bandage into the correct sizes.,The adhesive bandage is cut into the correct sizes.,
2854,,He is catching fish.,Fish is being caught by him., 
2855,,She was cooking vegetables.,Vegetables are being cooked by her., 
2856,,They are drinking water.,Water is being drunk by them., 
2857,,We have seen the accident.,The accident has been seen by us., 
2858,,They buy fish every day.,Fish is bought by them every day., 
2859,,She gave us the news.,The news was given us by her., 
2860,,He wrote me a letter.,A letter was written me by him., 
2861,,She made us some tea.,Some tea was made us by her., 
2862,,Do you know the answer ?,Is the answer known by you ?, 
2863,,Can you speak Japanese ?,Can Japanese be spoken by you ?, 
2864,,I see her every day ?,She is seen by me every day., 
2865,,Ask him to leave.,Let him be asked to leave., 
2866,,Do this at once.,Let his be done at once., 
2867,,Bring it to me this instant.,Let it be bought to me this instant., 
2868,,I have nothing say.,Nothing is had by me to say.,
2869,,Somebody has cleaned the room.,The room has been cleaned., 
2870,,They have postponed the concert.,The concert has been postponed., 
2871,,Somebody is using the computer at the moment.,The computer is being used at the moment., 
2872,,I didn't realize that somebody was recording our conversation.,I didn't realize that our conversation was being recorded., 
2873,,When we got to the stadium we found that they had canceled the game.,When we got to the stadium we found that the game had been canceled., 
2874,,They are building a new ring road round the city.,A new ring road is being built round the city, 
2875,,They have built a new hospital near the airport.,A new hospital has been built near the airport.,
2876,,They scattered the books carelessly on the floor.,The books were carelessly scattered on the floor.,
2877,,People generally assume that fat and lazy.,Fat people are generally assumed to be lazy.,
2878,,He kicked the ball.,The ball was kicked by him., 
2879,,She is eating an orange.,An orange is being eaten by her., 
2880,,They did the work.,The work was done by them., 
2881,,He has stolen the money.,The money has been stolen by him., 
2882,,We shall do it.,It will be done by us., 
2883,,She gave them some food.,They were given some food by her., 
2884,,I wrote him a letter.,He was written a letter by me., 
2885,,They laughed at us.,We were laughed at by them., 
2886,,She was sing a song.,A song was being sung by her., 
2887,,I have told the story.,The story has been told by me.,
2888,,He kept me waiting.,I was kept waiting.,
2889,,I have sold my old books.,My old books have been sold.,
2890,,Someone has broken my ruler.,My ruler has been broken.,
2891,,Anybody can borrow books from this library.,Books can be borrowed from this library.,
